#{"t_start": 1779736514.126843, "env_id": "PandaPush-v3"}
r,l,t
-2.678545,50,2.499415
-5.76134,50,2.640006
-0.592259,12,2.671249
-6.515932,50,2.811841
-5.875681,50,2.952434
-4.866447,50,3.093025
-0.042935,1,3.093025
-5.540918,50,3.233616
-0.032769,1,3.249242
-5.154912,50,3.389829
-0.04375,1,3.389829
-0.044587,1,3.389829
-3.81021,50,3.546044
-0.031836,1,3.546044
-0.037508,1,3.546044
-3.397492,50,3.686636
-5.325781,50,3.827228
-4.579255,50,3.98344
-4.407772,50,4.124031
-6.382402,50,4.280284
-1.757614,27,4.373974
-0.043348,1,4.373974
-5.345934,50,4.514567
-4.150577,50,4.655159
-10.142025,50,4.795783
-0.028305,1,4.795783
-4.50664,50,4.951963
-0.005873,1,4.951963
-0.049906,1,4.951963
-5.787513,50,5.092554
-6.337622,50,5.233145
-6.031315,50,6.264159
-5.888837,50,7.342036
-3.228964,50,8.388658
-6.034924,50,9.466529
-0.013851,1,9.482151
-9.964845,50,10.575647
-5.198821,50,11.669135
-2.581641,50,12.793886
-5.517944,50,13.793638
-0.034113,1,13.824892
-0.049807,1,13.856122
-4.751377,50,14.871512
-0.0457,1,14.90275
-3.154484,50,15.980626
-1.355368,21,16.402401
-4.773585,50,17.480272
-3.608927,50,18.589387
-4.204301,50,19.667259
-3.336466,50,20.760754
-5.725309,50,21.823007
-2.727975,50,22.947772
-5.798327,50,24.041234
-6.32032,50,25.103482
-4.766236,50,26.181356
-6.238262,50,27.227986
-3.815535,50,28.321479
-5.282933,50,29.399348
-4.91882,50,30.524083
-6.255211,50,31.61758
-4.405863,50,32.757933
-4.743795,50,33.851426
-4.233679,50,34.944922
-3.157631,50,36.132143
-4.117565,50,37.194396
-8.817933,50,38.334753
-4.866919,50,39.412621
-3.568775,50,40.490492
-0.025681,1,40.506114
-4.275671,50,41.599607
-3.415222,50,42.708722
-4.700821,50,43.833457
-3.745021,50,44.88009
-4.9316,50,46.004823
-6.053576,50,47.113936
-0.026826,1,47.129558
-2.516228,50,48.238675
-0.008066,1,48.269914
-4.147208,50,49.37903
-3.082913,50,50.425659
-5.611393,50,51.50353
-3.139604,50,52.565801
-4.417616,50,53.674896
-3.552135,50,54.737149
-5.68462,50,55.815022
-3.854129,50,56.89289
-3.562847,50,57.95514
-2.372525,35,58.704998
-0.032109,1,58.751828
-3.439043,44,59.751594
-4.284288,50,60.876365
-5.910504,50,61.985446
-3.522017,50,63.094557
-4.739784,50,64.219298
-4.147267,50,65.344037
