#{"t_start": 1779724689.290449, "env_id": "PandaPush-v3"}
r,l,t
-2.678545,50,2.499409
-5.76134,50,2.640002
-0.592406,12,2.671245
-6.6574,50,2.827493
-5.875681,50,2.968085
-4.866447,50,3.10864
-0.042935,1,3.10864
-4.379946,50,3.249233
-0.032779,1,3.249233
-5.153183,50,3.389865
-0.043758,1,3.389865
-0.044587,1,3.405483
-3.870627,50,3.561696
-0.031827,1,3.561696
-0.037506,1,3.561696
-3.41861,50,3.702253
-5.325781,50,3.842845
-4.579255,50,3.983435
-4.128235,50,4.13965
-5.779875,50,4.280242
-1.737717,27,4.373968
-0.043348,1,4.373968
-5.345934,50,4.514603
-4.150577,50,4.639533
-5.913165,50,4.795744
-0.028314,1,4.795744
-4.506455,50,4.936373
-0.005885,1,4.936373
-0.049905,1,4.951965
-5.787929,50,5.092587
-6.33673,50,5.217558
-6.030822,50,6.264156
-5.8885,50,7.373271
-3.230631,50,8.529248
-4.869034,50,9.653984
-0.013846,1,9.669606
-6.786001,50,10.794337
-5.200998,50,11.825347
-2.584483,50,12.887629
-5.520979,50,13.934226
-0.034116,1,13.965467
-0.049808,1,13.981089
-4.751343,50,15.074583
-0.045703,1,15.105824
-3.157443,50,16.136834
-3.297779,50,17.183461
-4.775389,50,18.245713
-3.606649,50,19.542283
-4.202938,50,21.010693
-3.336238,50,22.08856
-10.113618,50,23.166432
-2.728475,50,24.244305
-5.798345,50,25.369039
-4.562687,50,26.446915
-4.765243,50,27.58727
-2.992657,50,28.665142
-3.816443,50,29.789879
-5.282799,50,30.867749
-4.918949,50,31.89876
-6.255184,50,33.039113
-4.405801,50,34.195138
-2.739731,50,35.272967
-4.232896,50,36.382081
-3.157513,50,37.444362
-4.116992,50,38.569064
-4.987403,50,39.615694
-4.866633,50,40.724806
-3.568833,50,41.833922
-0.02568,1,41.849546
-8.661413,50,42.943037
-3.415607,50,44.005287
-4.700972,50,45.067542
-3.745256,50,46.145412
-4.9316,50,47.254526
-6.053577,50,48.36364
-0.026826,1,48.394881
-2.516228,50,49.441511
-0.008066,1,49.472753
-4.147306,50,50.597492
-3.082228,50,51.706615
-5.611533,50,52.8001
-4.810424,50,53.862351
-4.417117,50,54.955845
-3.5748,50,56.049385
-6.763193,50,57.127207
-3.853198,50,58.251942
-3.564536,50,59.28295
-9.892423,50,60.345201
-0.032099,1,60.376446
-3.984979,50,61.469935
-5.169607,50,62.54781
-3.802245,50,63.625683
-3.521713,50,64.719172
-4.739673,50,65.828287
-4.147169,50,66.890543
-2.882622,50,67.968412
-18.30445,50,69.046284
-4.269284,50,70.077292
-0.023033,1,70.108531
-4.710648,50,71.170783
-4.054437,50,72.373624
-0.044491,1,72.389246
-3.772496,50,73.435876
-3.613146,50,74.498128
-2.603643,50,75.685348
-4.35907,50,76.747597
-4.768838,50,77.809852
-3.989673,50,78.93464
-2.608958,50,80.012458
-0.04444,1,80.043697
-5.360384,50,81.105948
-5.830764,50,82.261926
-2.94906,50,83.386666
-6.523585,50,84.417671
